60
5	154	48	54	13
2	68	121	40	38
1	155	93	76	76
9	189	7	34	87
3	100	254	79	61
1	145	203	22	41
6	68	61	8	77
9	73	215	21	0
6	108	107	15	29
7	141	101	75	88
1	223	160	98	66
6	107	239	2	91
9	126	258	59	31
6	192	197	50	22
2	301	268	52	16
7	178	272	41	63
1	66	175	31	5
7	129	209	25	13
10	23	127	3	30
2	256	249	27	48
2	270	237	77	14
10	252	6	1	57
5	234	148	10	31
4	238	7	76	3
5	120	285	67	47
10	249	83	6	71
2	281	286	58	72
8	103	98	26	11
5	45	102	98	14
2	274	116	93	100
8	17	197	52	26
10	67	6	42	78
1	132	225	89	56
5	180	87	36	11
1	262	45	26	96
2	117	251	13	34
3	277	166	87	33
10	284	125	38	1
5	185	21	40	4
4	170	290	54	38
4	39	189	62	36
1	294	21	27	90
2	232	180	76	2
3	225	287	3	71
10	19	178	10	75
4	75	35	55	17
1	120	278	42	67
5	208	315	28	37
8	167	127	52	90
8	115	88	98	57
9	226	260	72	98
10	127	186	14	72
9	248	292	33	42
3	135	249	57	0
9	202	92	22	19
1	226	265	80	29
7	299	71	25	20
3	169	249	61	67
5	49	255	79	83
3	213	10	61	93
