200
2	529	4021	94	97
4	661	9231	32	35
37	6762	5647	43	78
14	4379	4255	70	78
4	5033	2516	61	71
44	3006	4944	78	49
42	87	5300	32	65
74	2601	6756	37	57
22	2263	7905	95	99
60	6879	4656	3	80
31	809	7326	89	3
42	2757	6397	62	16
33	6781	2829	4	57
33	428	2552	73	35
63	43	4529	34	31
58	104	6119	23	25
32	6002	6242	23	45
37	5764	3749	76	46
68	1246	5346	15	11
55	3180	6632	21	78
30	1560	9480	8	89
15	7511	5488	27	70
69	1410	7517	1	31
60	7481	2650	85	93
62	5548	2587	44	37
4	1693	8419	65	88
30	2345	9373	89	3
45	6737	9219	65	14
26	6674	8160	38	68
58	7012	5319	55	5
14	6919	6068	98	67
74	4198	5308	37	12
67	4103	2376	23	80
27	924	7413	87	57
23	256	8389	74	84
6	1352	5257	5	81
49	3701	9006	59	99
3	6127	3014	74	97
5	6142	8906	89	42
18	1683	2372	97	38
4	6750	5402	27	76
25	4074	6403	56	7
1	533	8300	37	55
6	6915	2766	61	29
57	6187	8991	36	85
71	6415	8946	98	96
72	5571	4076	41	61
35	5724	6562	78	22
52	5408	5820	20	26
65	6119	5417	89	94
70	3087	9370	44	21
38	69	4126	47	12
3	6990	6969	36	27
27	3791	5280	43	56
20	6058	4062	19	24
42	1425	2396	97	18
18	1402	7184	69	37
67	3915	6365	0	66
36	2190	6223	61	84
19	4465	6077	78	85
70	853	3676	24	31
16	3572	6148	25	30
30	2814	8189	90	37
33	5856	6357	69	80
6	5452	7408	38	9
22	3721	5516	7	80
4	1514	2883	52	48
18	506	7236	70	99
62	6961	9246	67	99
29	5436	4999	61	72
57	452	2619	18	2
1	361	6720	9	59
47	80	6286	94	47
74	6153	8539	24	88
5	6611	5256	84	15
27	562	8103	39	6
10	1251	5612	28	32
61	3420	4682	64	34
57	5465	5480	69	22
13	5770	8687	35	9
21	7290	5494	1	54
66	6187	7944	68	42
68	2351	6086	21	89
40	3839	3538	0	62
19	6669	6670	74	37
29	959	2406	50	70
61	3662	6695	9	1
62	7187	4295	61	84
35	5841	8585	27	32
65	680	5640	52	97
75	5568	7516	30	73
50	3904	5321	70	19
45	2914	5633	71	14
2	3371	4782	37	31
23	5297	5587	4	41
67	6640	2506	2	36
43	6456	5954	37	85
65	3411	5417	94	5
56	4894	6051	77	70
48	3722	4551	63	30
43	1649	5116	84	68
46	2814	5258	38	74
49	7461	3361	19	46
21	515	6639	76	19
1	6697	4915	96	15
58	7475	5424	8	19
42	5879	7597	26	83
30	622	9247	96	48
43	1376	9614	79	1
6	843	6683	70	49
20	1606	3103	20	18
65	2121	6853	97	86
14	6006	7143	69	27
38	328	5690	12	94
62	916	4895	45	15
61	1330	6747	83	26
2	2477	2940	21	17
23	896	6268	49	9
41	3624	9776	72	61
45	4084	2705	80	89
38	5704	8672	21	22
72	1389	8125	19	80
72	6839	7613	98	70
62	6934	8833	40	18
24	7214	8390	77	18
16	769	3100	89	10
67	1207	7664	41	79
26	909	3158	41	83
29	1473	7416	21	5
4	1874	8998	47	32
29	4756	4732	49	50
23	5359	6603	84	77
66	4688	6017	11	8
54	140	5671	7	2
55	6487	5491	93	73
3	4026	4010	97	19
16	5918	3169	32	79
52	2400	6458	9	3
37	220	9680	67	59
14	1453	8076	30	54
7	921	7837	90	91
53	565	9309	18	40
34	3395	6343	93	47
44	4179	2940	61	51
31	3436	5127	19	45
57	5464	8056	23	46
51	665	7678	16	100
27	1942	8113	93	4
27	3816	5182	79	68
7	5482	3702	38	77
35	303	7664	6	4
65	1517	7028	51	33
28	2872	9324	50	8
15	402	8179	3	14
28	360	8392	62	75
55	394	3451	89	82
9	593	6308	43	43
59	5166	2982	83	65
14	7465	8778	0	49
61	5586	2672	83	18
39	7427	6153	90	72
66	991	3098	66	61
72	2980	8327	69	89
17	7297	7752	34	37
56	2916	6309	49	20
52	6816	8118	67	58
75	6930	3369	39	83
24	5252	8234	70	58
18	7143	2929	2	38
55	329	6002	25	39
65	6555	5865	4	43
54	4935	6473	43	25
50	1766	9680	61	1
54	4466	6918	6	9
25	5191	9562	89	8
22	6304	6350	29	6
71	1461	8848	56	9
49	913	9401	100	1
36	3475	8793	34	42
11	35	9515	32	98
20	5044	7754	46	90
58	1556	4111	18	72
44	3100	9761	14	31
48	1366	4102	77	17
4	6745	4902	14	91
41	7119	7682	2	1
16	3056	4214	23	89
30	1207	6096	16	9
73	7494	8786	69	89
56	3401	6309	16	98
12	3389	3290	82	52
21	7508	2928	27	43
72	3635	4046	43	84
25	2642	4637	50	92
36	1446	3673	36	86
29	3895	2356	12	12
14	5735	7871	96	1
42	2159	6959	17	41
35	3150	6395	57	76
7	6075	6148	98	36
